run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR24975807	SRX20733013	SAMN35813494	GSM7500501	GSM7500501	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	85189884	8348608632	Illumina HiSeq 4000 sequencing: GSM7500501: hbca_c18,P14,replicate_1,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c18,P14,replicate_1,both,overnight_digestion
SRR24975812	SRX20733015	SAMN35813491	GSM7500504	GSM7500504	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	35062504	3436125392	Illumina HiSeq 4000 sequencing: GSM7500504: hbca_c21,P17,replicate_1,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c21,P17,replicate_1,both,overnight_digestion
SRR24975814	SRX20733015	SAMN35813491	GSM7500504	GSM7500504	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	25118181	2461581738	Illumina HiSeq 4000 sequencing: GSM7500504: hbca_c21,P17,replicate_1,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c21,P17,replicate_1,both,overnight_digestion
SRR24975816	SRX20733015	SAMN35813491	GSM7500504	GSM7500504	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	20395353	1998744594	Illumina HiSeq 4000 sequencing: GSM7500504: hbca_c21,P17,replicate_1,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c21,P17,replicate_1,both,overnight_digestion
SRR24975821	SRX20733012	SAMN35813492	GSM7500503	GSM7500503	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	15979352	1565976496	Illumina HiSeq 4000 sequencing: GSM7500503: hbca_c17,P13,replicate_2,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c17,P13,replicate_2,both,overnight_digestion
SRR24975822	SRX20733012	SAMN35813492	GSM7500503	GSM7500503	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	15280014	1497441372	Illumina HiSeq 4000 sequencing: GSM7500503: hbca_c17,P13,replicate_2,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c17,P13,replicate_2,both,overnight_digestion
SRR24975823	SRX20733012	SAMN35813492	GSM7500503	GSM7500503	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	20819739	2040334422	Illumina HiSeq 4000 sequencing: GSM7500503: hbca_c17,P13,replicate_2,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c17,P13,replicate_2,both,overnight_digestion
SRR24988772	SRX20677095	SAMN35724366	GSM7475115	GSM7475115	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	184077153	6994931814	Illumina NovaSeq 6000 sequencing: GSM7475115: P47, replicate_1, left, frozen tissue OCT, visium Homo sapiens RNA-Seq	P47, replicate_1, left, frozen tissue OCT, visium
SRR24908615	SRX20670091	SAMN35724694	GSM7475159	GSM7475159	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	159049181	14473475471	Illumina NovaSeq 6000 sequencing: GSM7475159: hbca_n15,P24,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n15,P24,replicate_1,right,nuclei
SRR24908616	SRX20670091	SAMN35724694	GSM7475159	GSM7475159	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	162030472	14744772952	Illumina NovaSeq 6000 sequencing: GSM7475159: hbca_n15,P24,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n15,P24,replicate_1,right,nuclei
SRR24908619	SRX20670089	SAMN35724696	GSM7475157	GSM7475157	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	189205705	17217719155	Illumina NovaSeq 6000 sequencing: GSM7475157: hbca_n13,P22,replicate_1,contra,nuclei Homo sapiens RNA-Seq	hbca_n13,P22,replicate_1,contra,nuclei
SRR24908620	SRX20670089	SAMN35724696	GSM7475157	GSM7475157	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	190416719	17327921429	Illumina NovaSeq 6000 sequencing: GSM7475157: hbca_n13,P22,replicate_1,contra,nuclei Homo sapiens RNA-Seq	hbca_n13,P22,replicate_1,contra,nuclei
SRR24908621	SRX20670088	SAMN35724697	GSM7475156	GSM7475156	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	136814092	12450082372	Illumina NovaSeq 6000 sequencing: GSM7475156: hbca_n12,P135,replicate_1,rm,nuclei Homo sapiens RNA-Seq	hbca_n12,P135,replicate_1,rm,nuclei
SRR24908622	SRX20670088	SAMN35724697	GSM7475156	GSM7475156	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	137471906	12509943446	Illumina NovaSeq 6000 sequencing: GSM7475156: hbca_n12,P135,replicate_1,rm,nuclei Homo sapiens RNA-Seq	hbca_n12,P135,replicate_1,rm,nuclei
SRR24908624	SRX20670087	SAMN35724698	GSM7475155	GSM7475155	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	173748424	15463609736	Illumina NovaSeq 6000 sequencing: GSM7475155: hbca_n11,P20,replicate_1,rm,nuclei Homo sapiens RNA-Seq	hbca_n11,P20,replicate_1,rm,nuclei
SRR24908626	SRX20670086	SAMN35724704	GSM7475149	GSM7475149	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	186684573	16614926997	Illumina NovaSeq 6000 sequencing: GSM7475149: hbca_n05,P133,replicate_1,contra,nuclei Homo sapiens RNA-Seq	hbca_n05,P133,replicate_1,contra,nuclei
SRR24908632	SRX20670084	SAMN35724700	GSM7475153	GSM7475153	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	26395068	2586716664	Illumina HiSeq 4000 sequencing: GSM7475153: hbca_n09,P18,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n09,P18,replicate_1,left and right breast,nuclei
SRR24908633	SRX20670084	SAMN35724700	GSM7475153	GSM7475153	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	21653706	2122063188	Illumina HiSeq 4000 sequencing: GSM7475153: hbca_n09,P18,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n09,P18,replicate_1,left and right breast,nuclei
SRR24908642	SRX20670082	SAMN35724702	GSM7475151	GSM7475151	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	14196415	1391248670	Illumina HiSeq 4000 sequencing: GSM7475151: hbca_n07,P12,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n07,P12,replicate_1,left and right breast,nuclei
SRR24908643	SRX20670081	SAMN35724703	GSM7475150	GSM7475150	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	15473411	1516394278	Illumina HiSeq 4000 sequencing: GSM7475150: hbca_n06,P134,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n06,P134,replicate_1,left and right breast,nuclei
SRR24908644	SRX20670081	SAMN35724703	GSM7475150	GSM7475150	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	8282205	811656090	Illumina HiSeq 4000 sequencing: GSM7475150: hbca_n06,P134,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n06,P134,replicate_1,left and right breast,nuclei
SRR24908652	SRX20670076	SAMN35724685	GSM7475168	GSM7475168	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	192033953	17475089723	Illumina NovaSeq 6000 sequencing: GSM7475168: hbca_n24,P41,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n24,P41,replicate_1,right,nuclei
SRR24908656	SRX20670074	SAMN35724687	GSM7475166	GSM7475166	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	164514219	14970793929	Illumina NovaSeq 6000 sequencing: GSM7475166: hbca_n22,P40,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n22,P40,replicate_1,right,nuclei
SRR24908659	SRX20670073	SAMN35724688	GSM7475165	GSM7475165	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	181057466	16476229406	Illumina NovaSeq 6000 sequencing: GSM7475165: hbca_n21,P40,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n21,P40,replicate_1,left,nuclei
SRR24908661	SRX20670072	SAMN35724689	GSM7475164	GSM7475164	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	204860706	18642324246	Illumina NovaSeq 6000 sequencing: GSM7475164: hbca_n20,P39,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n20,P39,replicate_1,right,nuclei
SRR24908666	SRX20670069	SAMN35724692	GSM7475161	GSM7475161	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	168710306	15352637846	Illumina NovaSeq 6000 sequencing: GSM7475161: hbca_n17,P38,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n17,P38,replicate_1,left,nuclei
SRR24916189	SRX20677100	SAMN35724361	GSM7475120	GSM7475120	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	438705200	16670797600	Illumina NovaSeq 6000 sequencing: GSM7475120: P79, replicate_1, left, frozen tissue OCT, visium Homo sapiens RNA-Seq	P79, replicate_1, left, frozen tissue OCT, visium
SRR24916190	SRX20677100	SAMN35724361	GSM7475120	GSM7475120	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	438705200	43870520000	Illumina NovaSeq 6000 sequencing: GSM7475120: P79, replicate_1, left, frozen tissue OCT, visium Homo sapiens RNA-Seq	P79, replicate_1, left, frozen tissue OCT, visium
SRR24916191	SRX20677099	SAMN35724362	GSM7475119	GSM7475119	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	404861379	15384732402	Illumina NovaSeq 6000 sequencing: GSM7475119: P85, replicate_1, right, frozen tissue OCT, visium Homo sapiens RNA-Seq	P85, replicate_1, right, frozen tissue OCT, visium
SRR24916198	SRX20677096	SAMN35724365	GSM7475116	GSM7475116	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	404107425	40410742500	Illumina NovaSeq 6000 sequencing: GSM7475116: P65, replicate_1, right, frozen tissue OCT, visium Homo sapiens RNA-Seq	P65, replicate_1, right, frozen tissue OCT, visium
SRR24916199	SRX20677095	SAMN35724366	GSM7475115	GSM7475115	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	178889155	21466698600	Illumina NovaSeq 6000 sequencing: GSM7475115: P47, replicate_1, left, frozen tissue OCT, visium Homo sapiens RNA-Seq	P47, replicate_1, left, frozen tissue OCT, visium
SRR24916200	SRX20677095	SAMN35724366	GSM7475115	GSM7475115	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	362966308	25718921440	Illumina NovaSeq 6000 sequencing: GSM7475115: P47, replicate_1, left, frozen tissue OCT, visium Homo sapiens RNA-Seq	P47, replicate_1, left, frozen tissue OCT, visium
