run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR24975367	SRX20732986	SAMN35813564	GSM7500431	GSM7500431	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	105436351	9594707941	Illumina NovaSeq 6000 sequencing: GSM7500431: hbca_c122,P81,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c122,P81,replicate_1,right,2hr_digstion
SRR24975371	SRX20732985	SAMN35813563	GSM7500432	GSM7500432	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	105906526	9637493866	Illumina NovaSeq 6000 sequencing: GSM7500432: hbca_c123,P82,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c123,P82,replicate_1,right,3hr_digestion
SRR24975381	SRX20733007	SAMN35813551	GSM7500444	GSM7500444	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	102454048	9323318368	Illumina NovaSeq 6000 sequencing: GSM7500444: hbca_c135,P94,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c135,P94,replicate_1,right,3hr_digestion
SRR24975385	SRX20732983	SAMN35813565	GSM7500430	GSM7500430	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	88303443	8035613313	Illumina NovaSeq 6000 sequencing: GSM7500430: hbca_c121,P80,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c121,P80,replicate_1,right,2hr_digstion
SRR24975388	SRX20732998	SAMN35813560	GSM7500435	GSM7500435	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	96372430	8769891130	Illumina NovaSeq 6000 sequencing: GSM7500435: hbca_c126,P85,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c126,P85,replicate_1,right,2hr_digstion
SRR24975392	SRX20732982	SAMN35813566	GSM7500429	GSM7500429	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	88826560	8083216960	Illumina NovaSeq 6000 sequencing: GSM7500429: hbca_c120,P79,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c120,P79,replicate_1,left,3hr_digestion
SRR24975393	SRX20732981	SAMN35813567	GSM7500428	GSM7500428	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	77194658	7024713878	Illumina NovaSeq 6000 sequencing: GSM7500428: hbca_c119,P78,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c119,P78,replicate_1,right,2hr_digstion
SRR24975396	SRX20732981	SAMN35813567	GSM7500428	GSM7500428	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	74193780	6751633980	Illumina NovaSeq 6000 sequencing: GSM7500428: hbca_c119,P78,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c119,P78,replicate_1,right,2hr_digstion
SRR24975399	SRX20732980	SAMN35813568	GSM7500427	GSM7500427	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	115854570	10542765870	Illumina NovaSeq 6000 sequencing: GSM7500427: hbca_c118,P77,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c118,P77,replicate_1,left,3hr_digestion
SRR24975403	SRX20732979	SAMN35813576	GSM7500419	GSM7500419	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	184504877	16789943807	Illumina NovaSeq 6000 sequencing: GSM7500419: hbca_c110,P69,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c110,P69,replicate_1,right,2hr_digstion
SRR24975405	SRX20732984	SAMN35813569	GSM7500426	GSM7500426	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	119223649	10849352059	Illumina NovaSeq 6000 sequencing: GSM7500426: hbca_c117,P76,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c117,P76,replicate_1,left,3hr_digestion
SRR24975406	SRX20732984	SAMN35813569	GSM7500426	GSM7500426	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	118576030	10790418730	Illumina NovaSeq 6000 sequencing: GSM7500426: hbca_c117,P76,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c117,P76,replicate_1,left,3hr_digestion
SRR24975409	SRX20732978	SAMN35813570	GSM7500425	GSM7500425	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	115657470	10524829770	Illumina NovaSeq 6000 sequencing: GSM7500425: hbca_c116,P75,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c116,P75,replicate_1,left,3hr_digestion
SRR24975416	SRX20732975	SAMN35813590	GSM7500405	GSM7500405	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	172306967	15679933997	Illumina NovaSeq 6000 sequencing: GSM7500405: hbca_c95,P60,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c95,P60,replicate_1,right,3hr_digestion
SRR24975427	SRX20732970	SAMN35813594	GSM7500401	GSM7500401	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	217329642	19776997422	Illumina NovaSeq 6000 sequencing: GSM7500401: hbca_c92,P59,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c92,P59,replicate_1,left,3hr_digestion
SRR24975428	SRX20732970	SAMN35813594	GSM7500401	GSM7500401	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	218035557	19841235687	Illumina NovaSeq 6000 sequencing: GSM7500401: hbca_c92,P59,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c92,P59,replicate_1,left,3hr_digestion
SRR24975429	SRX20732969	SAMN35813595	GSM7500400	GSM7500400	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	135457622	12326643602	Illumina NovaSeq 6000 sequencing: GSM7500400: hbca_c91,P41,replicate_1,right,4hr_digestion Homo sapiens RNA-Seq	hbca_c91,P41,replicate_1,right,4hr_digestion
SRR24975433	SRX20732967	SAMN35813597	GSM7500398	GSM7500398	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	193030055	17565735005	Illumina NovaSeq 6000 sequencing: GSM7500398: hbca_c89,P58,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c89,P58,replicate_1,right,3hr_digestion
SRR24975437	SRX20732965	SAMN35813600	GSM7500395	GSM7500395	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	182368947	16595574177	Illumina NovaSeq 6000 sequencing: GSM7500395: hbca_c86,P40,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c86,P40,replicate_1,left,3hr_digestion
SRR24975441	SRX20732963	SAMN35813602	GSM7500393	GSM7500393	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	238285686	21683997426	Illumina NovaSeq 6000 sequencing: GSM7500393: hbca_c84,P39,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c84,P39,replicate_1,left,3hr_digestion
SRR24975444	SRX20732961	SAMN35813496	GSM7500499	GSM7500499	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	200858131	18278089921	Illumina NovaSeq 6000 sequencing: GSM7500499: hbca_c48,P43,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c48,P43,replicate_1,contra,3hr_digestion
SRR24975446	SRX20732960	SAMN35813497	GSM7500498	GSM7500498	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	181497463	16516269133	Illumina NovaSeq 6000 sequencing: GSM7500498: hbca_c47,P43,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c47,P43,replicate_1,contra,short_digestion
SRR24975447	SRX20732960	SAMN35813497	GSM7500498	GSM7500498	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	176736786	16083047526	Illumina NovaSeq 6000 sequencing: GSM7500498: hbca_c47,P43,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c47,P43,replicate_1,contra,short_digestion
SRR24975451	SRX20732958	SAMN35813498	GSM7500497	GSM7500497	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	204458163	18605692833	Illumina NovaSeq 6000 sequencing: GSM7500497: hbca_c46,P42,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c46,P42,replicate_1,contra,short_digestion
SRR24975452	SRX20733011	SAMN35813493	GSM7500502	GSM7500502	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	18730024	1835542352	Illumina HiSeq 4000 sequencing: GSM7500502: hbca_c16,P13,replicate_1,both,overnight_digestion Homo sapiens RNA-Seq	hbca_c16,P13,replicate_1,both,overnight_digestion
SRR24975453	SRX20732957	SAMN35813500	GSM7500495	GSM7500495	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	231993822	21111437802	Illumina NovaSeq 6000 sequencing: GSM7500495: hbca_c44,P35,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c44,P35,replicate_1,contra,overnight_digestion
SRR24975455	SRX20732956	SAMN35813502	GSM7500493	GSM7500493	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	155315371	14133698761	Illumina NovaSeq 6000 sequencing: GSM7500493: hbca_c31,P24,replicate_1,NA,6hr_digestion Homo sapiens RNA-Seq	hbca_c31,P24,replicate_1,NA,6hr_digestion
SRR24975456	SRX20732956	SAMN35813502	GSM7500493	GSM7500493	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	162444483	14782447953	Illumina NovaSeq 6000 sequencing: GSM7500493: hbca_c31,P24,replicate_1,NA,6hr_digestion Homo sapiens RNA-Seq	hbca_c31,P24,replicate_1,NA,6hr_digestion
SRR24975458	SRX20732955	SAMN35813509	GSM7500486	GSM7500486	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	199958430	18196217130	Illumina NovaSeq 6000 sequencing: GSM7500486: hbca_c41,P32,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c41,P32,replicate_1,contra,overnight_digestion
SRR24975459	SRX20733010	SAMN35813501	GSM7500494	GSM7500494	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	179190011	16306291001	Illumina NovaSeq 6000 sequencing: GSM7500494: hbca_c32,P24,replicate_1,NA,overnight_digestion Homo sapiens RNA-Seq	hbca_c32,P24,replicate_1,NA,overnight_digestion
SRR24975461	SRX20732954	SAMN35813503	GSM7500492	GSM7500492	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	187151124	17030752284	Illumina NovaSeq 6000 sequencing: GSM7500492: hbca_c30,P23,replicate_2,contra,short_digestion Homo sapiens RNA-Seq	hbca_c30,P23,replicate_2,contra,short_digestion
SRR24975463	SRX20732953	SAMN35813504	GSM7500491	GSM7500491	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	192395861	17508023351	Illumina NovaSeq 6000 sequencing: GSM7500491: hbca_c29,P23,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c29,P23,replicate_1,contra,short_digestion
SRR24975464	SRX20732952	SAMN35813505	GSM7500490	GSM7500490	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	194904130	17736275830	Illumina NovaSeq 6000 sequencing: GSM7500490: hbca_c28,P22,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c28,P22,replicate_1,contra,short_digestion
SRR24975466	SRX20732951	SAMN35813506	GSM7500489	GSM7500489	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	174738885	15901238535	Illumina NovaSeq 6000 sequencing: GSM7500489: hbca_c27,P21,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c27,P21,replicate_1,contra,overnight_digestion
SRR24975468	SRX20732950	SAMN35813507	GSM7500488	GSM7500488	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	198826205	18093184655	Illumina NovaSeq 6000 sequencing: GSM7500488: hbca_c43,P34,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c43,P34,replicate_1,contra,overnight_digestion
SRR24975470	SRX20732949	SAMN35813508	GSM7500487	GSM7500487	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	193638057	17621063187	Illumina NovaSeq 6000 sequencing: GSM7500487: hbca_c42,P33,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c42,P33,replicate_1,contra,overnight_digestion
SRR24975471	SRX20732949	SAMN35813508	GSM7500487	GSM7500487	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	195318709	17774002519	Illumina NovaSeq 6000 sequencing: GSM7500487: hbca_c42,P33,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c42,P33,replicate_1,contra,overnight_digestion
SRR24975478	SRX20732945	SAMN35813512	GSM7500483	GSM7500483	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	207453387	18878258217	Illumina NovaSeq 6000 sequencing: GSM7500483: hbca_c40,P37,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c40,P37,replicate_1,contra,short_digestion
SRR24975480	SRX20732944	SAMN35813513	GSM7500482	GSM7500482	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	201845491	18367939681	Illumina NovaSeq 6000 sequencing: GSM7500482: hbca_c33,P25,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c33,P25,replicate_1,contra,overnight_digestion
SRR24975483	SRX20732942	SAMN35813515	GSM7500480	GSM7500480	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	185081187	16842388017	Illumina NovaSeq 6000 sequencing: GSM7500480: hbca_c38,P30,replicate_1,right,overnight_digestion Homo sapiens RNA-Seq	hbca_c38,P30,replicate_1,right,overnight_digestion
SRR24975487	SRX20732940	SAMN35813524	GSM7500471	GSM7500471	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	334609974	42160856724	Illumina HiSeq 4000 sequencing: GSM7500471: hbca_c09,P09,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c09,P09,replicate_1,contra,short_digestion
SRR24975489	SRX20732937	SAMN35813517	GSM7500478	GSM7500478	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	221336970	20141664270	Illumina NovaSeq 6000 sequencing: GSM7500478: hbca_c36,P28,replicate_1,contra,overnight_digestion Homo sapiens RNA-Seq	hbca_c36,P28,replicate_1,contra,overnight_digestion
SRR24975497	SRX20732933	SAMN35813521	GSM7500474	GSM7500474	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	328799276	41428708776	Illumina HiSeq 4000 sequencing: GSM7500474: hbca_c12,P11,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c12,P11,replicate_1,contra,short_digestion
SRR24975500	SRX20732930	SAMN35813528	GSM7500467	GSM7500467	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	330866587	41689189962	Illumina HiSeq 4000 sequencing: GSM7500467: hbca_c05,P05,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c05,P05,replicate_1,contra,short_digestion
SRR24975501	SRX20732929	SAMN35813529	GSM7500466	GSM7500466	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	349034669	43978368294	Illumina HiSeq 4000 sequencing: GSM7500466: hbca_c04,P04,replicate_1,contra,short_digestion Homo sapiens RNA-Seq	hbca_c04,P04,replicate_1,contra,short_digestion
SRR24975506	SRX20732924	SAMN35813573	GSM7500422	GSM7500422	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	198263472	18041975952	Illumina NovaSeq 6000 sequencing: GSM7500422: hbca_c113,P72,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c113,P72,replicate_1,right,2hr_digstion
SRR24975511	SRX20732922	SAMN35813575	GSM7500420	GSM7500420	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	207732362	18903644942	Illumina NovaSeq 6000 sequencing: GSM7500420: hbca_c111,P70,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c111,P70,replicate_1,right,3hr_digestion
SRR24975514	SRX20732920	SAMN35813584	GSM7500411	GSM7500411	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	183567137	16704609467	Illumina NovaSeq 6000 sequencing: GSM7500411: hbca_c102,P63,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c102,P63,replicate_1,right,3hr_digestion
SRR24975516	SRX20732979	SAMN35813576	GSM7500419	GSM7500419	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	183716463	16718198133	Illumina NovaSeq 6000 sequencing: GSM7500419: hbca_c110,P69,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c110,P69,replicate_1,right,2hr_digstion
SRR24975521	SRX20732917	SAMN35813580	GSM7500415	GSM7500415	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	174110450	15844050950	Illumina NovaSeq 6000 sequencing: GSM7500415: hbca_c106,P65,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c106,P65,replicate_1,right,2hr_digstion
SRR24975522	SRX20732917	SAMN35813580	GSM7500415	GSM7500415	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	175253668	15948083788	Illumina NovaSeq 6000 sequencing: GSM7500415: hbca_c106,P65,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c106,P65,replicate_1,right,2hr_digstion
SRR24975523	SRX20732916	SAMN35813581	GSM7500414	GSM7500414	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	188477134	17151419194	Illumina NovaSeq 6000 sequencing: GSM7500414: hbca_c105,P65,replicate_1,left,2hr_digstion Homo sapiens RNA-Seq	hbca_c105,P65,replicate_1,left,2hr_digstion
SRR24975525	SRX20732915	SAMN35813582	GSM7500413	GSM7500413	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	181953431	16557762221	Illumina NovaSeq 6000 sequencing: GSM7500413: hbca_c104,P64,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c104,P64,replicate_1,right,2hr_digstion
SRR24975531	SRX20732912	SAMN35813585	GSM7500410	GSM7500410	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	170494881	15515034171	Illumina NovaSeq 6000 sequencing: GSM7500410: hbca_c101,P63,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c101,P63,replicate_1,left,3hr_digestion
SRR24975533	SRX20732911	SAMN35813586	GSM7500409	GSM7500409	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	200070105	18206379555	Illumina NovaSeq 6000 sequencing: GSM7500409: hbca_c99,P62,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c99,P62,replicate_1,right,2hr_digstion
SRR24975536	SRX20732909	SAMN35813604	GSM7500391	GSM7500391	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	160713542	14624932322	Illumina NovaSeq 6000 sequencing: GSM7500391: hbca_c82,P38,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c82,P38,replicate_1,left,3hr_digestion
SRR24975538	SRX20732908	SAMN35813606	GSM7500389	GSM7500389	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	188390928	17143574448	Illumina NovaSeq 6000 sequencing: GSM7500389: hbca_c80,P57,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c80,P57,replicate_1,left,3hr_digestion
SRR24975539	SRX20732908	SAMN35813606	GSM7500389	GSM7500389	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	187501712	17062655792	Illumina NovaSeq 6000 sequencing: GSM7500389: hbca_c80,P57,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c80,P57,replicate_1,left,3hr_digestion
SRR24975542	SRX20732966	SAMN35813605	GSM7500390	GSM7500390	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	184252217	16766951747	Illumina NovaSeq 6000 sequencing: GSM7500390: hbca_c81,P57,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c81,P57,replicate_1,right,3hr_digestion
SRR24975544	SRX20732906	SAMN35813607	GSM7500388	GSM7500388	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	183077216	16660026656	Illumina NovaSeq 6000 sequencing: GSM7500388: hbca_c79,P56,replicate_1,right,6hr_digestion Homo sapiens RNA-Seq	hbca_c79,P56,replicate_1,right,6hr_digestion
SRR24975549	SRX20732903	SAMN35813610	GSM7500385	GSM7500385	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	215373234	19598964294	Illumina NovaSeq 6000 sequencing: GSM7500385: hbca_c76,P55,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c76,P55,replicate_1,left,3hr_digestion
SRR24975551	SRX20732902	SAMN35813611	GSM7500384	GSM7500384	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	181055892	16476086172	Illumina NovaSeq 6000 sequencing: GSM7500384: hbca_c75,P54,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c75,P54,replicate_1,right,3hr_digestion
SRR24975553	SRX20732901	SAMN35813612	GSM7500383	GSM7500383	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	200011083	18201008553	Illumina NovaSeq 6000 sequencing: GSM7500383: hbca_c74,P54,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c74,P54,replicate_1,left,3hr_digestion
SRR24975555	SRX20732900	SAMN35813620	GSM7500375	GSM7500375	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	213022577	19385054507	Illumina NovaSeq 6000 sequencing: GSM7500375: hbca_c67,P51,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c67,P51,replicate_1,left,3hr_digestion
SRR24975564	SRX20732895	SAMN35813618	GSM7500377	GSM7500377	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	237966687	21654968517	Illumina NovaSeq 6000 sequencing: GSM7500377: hbca_c69,P51,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c69,P51,replicate_1,right,3hr_digestion
SRR24975565	SRX20732895	SAMN35813618	GSM7500377	GSM7500377	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	238108179	21667844289	Illumina NovaSeq 6000 sequencing: GSM7500377: hbca_c69,P51,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c69,P51,replicate_1,right,3hr_digestion
SRR24975567	SRX20732894	SAMN35813619	GSM7500376	GSM7500376	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	241736369	21998009579	Illumina NovaSeq 6000 sequencing: GSM7500376: hbca_c66,P51,replicate_2,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c66,P51,replicate_2,left,3hr_digestion
SRR24975572	SRX20732892	SAMN35813470	GSM7500525	GSM7500525	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	106287039	9672120549	Illumina NovaSeq 6000 sequencing: GSM7500525: hbca_c162,P121,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c162,P121,replicate_1,contra,3hr_digestion
SRR24975575	SRX20732892	SAMN35813470	GSM7500525	GSM7500525	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	33436084	3042683644	Illumina NovaSeq 6000 sequencing: GSM7500525: hbca_c162,P121,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c162,P121,replicate_1,contra,3hr_digestion
SRR24975577	SRX20733031	SAMN35813472	GSM7500523	GSM7500523	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	43580208	3965798928	Illumina NovaSeq 6000 sequencing: GSM7500523: hbca_c160,P119,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c160,P119,replicate_1,contra,3hr_digestion
SRR24975578	SRX20733031	SAMN35813472	GSM7500523	GSM7500523	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	21911688	1993963608	Illumina NovaSeq 6000 sequencing: GSM7500523: hbca_c160,P119,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c160,P119,replicate_1,contra,3hr_digestion
SRR24975587	SRX20733034	SAMN35813471	GSM7500524	GSM7500524	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	41412212	3768511292	Illumina NovaSeq 6000 sequencing: GSM7500524: hbca_c156,P115,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c156,P115,replicate_1,contra,3hr_digestion
SRR24975588	SRX20733034	SAMN35813471	GSM7500524	GSM7500524	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	105958477	9642221407	Illumina NovaSeq 6000 sequencing: GSM7500524: hbca_c156,P115,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c156,P115,replicate_1,contra,3hr_digestion
SRR24975591	SRX20733034	SAMN35813471	GSM7500524	GSM7500524	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	30732358	2796644578	Illumina NovaSeq 6000 sequencing: GSM7500524: hbca_c156,P115,replicate_1,contra,3hr_digestion Homo sapiens RNA-Seq	hbca_c156,P115,replicate_1,contra,3hr_digestion
SRR24975594	SRX20732890	SAMN35813538	GSM7500457	GSM7500457	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	106750744	9714317704	Illumina NovaSeq 6000 sequencing: GSM7500457: hbca_c148,P107,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c148,P107,replicate_1,right,3hr_digestion
SRR24975596	SRX20732889	SAMN35813534	GSM7500461	GSM7500461	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	104247693	9486540063	Illumina NovaSeq 6000 sequencing: GSM7500461: hbca_c152,P111,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c152,P111,replicate_1,left,3hr_digestion
SRR24975597	SRX20732889	SAMN35813534	GSM7500461	GSM7500461	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	103383619	9407909329	Illumina NovaSeq 6000 sequencing: GSM7500461: hbca_c152,P111,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c152,P111,replicate_1,left,3hr_digestion
SRR24975599	SRX20732889	SAMN35813534	GSM7500461	GSM7500461	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	103261434	9396790494	Illumina NovaSeq 6000 sequencing: GSM7500461: hbca_c152,P111,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c152,P111,replicate_1,left,3hr_digestion
SRR24975601	SRX20732888	SAMN35813535	GSM7500460	GSM7500460	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	104074886	9470814626	Illumina NovaSeq 6000 sequencing: GSM7500460: hbca_c151,P110,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c151,P110,replicate_1,left,3hr_digestion
SRR24975602	SRX20732888	SAMN35813535	GSM7500460	GSM7500460	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	103353765	9405192615	Illumina NovaSeq 6000 sequencing: GSM7500460: hbca_c151,P110,replicate_1,left,3hr_digestion Homo sapiens RNA-Seq	hbca_c151,P110,replicate_1,left,3hr_digestion
SRR24975604	SRX20732887	SAMN35813536	GSM7500459	GSM7500459	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	96734919	8802877629	Illumina NovaSeq 6000 sequencing: GSM7500459: hbca_c150,P109,replicate_1,right,4hr_digestion Homo sapiens RNA-Seq	hbca_c150,P109,replicate_1,right,4hr_digestion
SRR24975609	SRX20732886	SAMN35813537	GSM7500458	GSM7500458	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	106070555	9652420505	Illumina NovaSeq 6000 sequencing: GSM7500458: hbca_c149,P108,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c149,P108,replicate_1,right,3hr_digestion
SRR24975610	SRX20732886	SAMN35813537	GSM7500458	GSM7500458	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	105536723	9603841793	Illumina NovaSeq 6000 sequencing: GSM7500458: hbca_c149,P108,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c149,P108,replicate_1,right,3hr_digestion
